Name,State,Country,Location
Silver Spring,Maryland,US,"38.99067 , -77.02609"
South Laurel,Maryland,US,"39.06983 , -76.85025"
Saint Charles,Maryland,US,"38.60317 , -76.93858"
Suitland,Maryland,US,"38.84872 , -76.92386"
Waldorf,Maryland,US,"38.62456 , -76.93914"
White Oak,Maryland,US,"39.03983 , -76.99303"
West Bloomfield Township,Michigan,US,"42.56891 , -83.38356"
Farmington Hills,Michigan,US,"42.48531 , -83.37716"
Ferndale,Michigan,US,"42.46059 , -83.13465"
Madison Heights,Michigan,US,"42.48587 , -83.1052"
Novi,Michigan,US,"42.48059 , -83.47549"
Oak Park,Michigan,US,"42.45948 , -83.18271"
Pontiac,Michigan,US,"42.63892 , -83.29105"
Rochester Hills,Michigan,US,"42.65837 , -83.14993"
Royal Oak,Michigan,US,"42.48948 , -83.14465"
Southfield,Michigan,US,"42.47337 , -83.22187"
Troy,Michigan,US,"42.60559 , -83.14993"
Waterford,Michigan,US,"42.69303 , -83.41181"
West Bloomfield Township,Michigan,US,"42.56891 , -83.38356"
Mobile,Alabama,US,"30.69436 , -88.04305"
Prichard,Alabama,US,"30.7388 , -88.07889"
Greenville,North Carolina,US,"35.61266 , -77.36635"
Havelock,North Carolina,US,"34.87905 , -76.90133"
Kinston,North Carolina,US,"35.26266 , -77.58164"
New Bern,North Carolina,US,"35.10849 , -77.04411"
Rocky Mount,North Carolina,US,"35.93821 , -77.79053"
Wilson,North Carolina,US,"35.72127 , -77.91554"
Auburn,Washington,US,"47.30732 , -122.22845"
East Hill-Meridian,Washington,US,"47.41052 , -122.17369"
Federal Way,Washington,US,"47.32232 , -122.31262"
Lakewood,Washington,US,"47.17176 , -122.51846"
Parkland,Washington,US,"47.15538 , -122.43401"
Puyallup,Washington,US,"47.18538 , -122.2929"
South Hill,Washington,US,"47.14121 , -122.27012"
Spanaway,Washington,US,"47.10399 , -122.43457"
Tacoma,Washington,US,"47.25288 , -122.44429"
University Place,Washington,US,"47.23565 , -122.5504"
Copperas Cove,Texas,US,"31.12406 , -97.90308"
Fort Hood,Texas,US,"31.13489 , -97.77561"
Killeen,Texas,US,"31.11712 , -97.7278"
Temple,Texas,US,"31.09823 , -97.34278"
Waco,Texas,US,"31.54933 , -97.14667"
Anniston,Alabama,US,"33.65983 , -85.83163"
Decatur,Alabama,US,"34.60593 , -86.98334"
Florence,Alabama,US,"34.79981 , -87.67725"
Gadsden,Alabama,US,"34.01426 , -86.00664"
Huntsville,Alabama,US,"34.73037 , -86.5861"
Madison,Alabama,US,"34.69926 , -86.74833"
Fort Wayne,Indiana,US,"41.1306 , -85.12886"
Brookfield,Wisconsin,US,"43.06057 , -88.10648"
Caledonia,Wisconsin,US,"42.8078 , -87.92425"
Kenosha,Wisconsin,US,"42.58474 , -87.82119"
Menomonee Falls,Wisconsin,US,"43.1789 , -88.11731"
Mequon,Wisconsin,US,"43.2364 , -87.98453"
Muskego,Wisconsin,US,"42.90585 , -88.13898"
New Berlin,Wisconsin,US,"42.9764 , -88.10842"
Racine,Wisconsin,US,"42.72613 , -87.78285"
Waukesha,Wisconsin,US,"43.01168 , -88.23148"
West Bend,Wisconsin,US,"43.42528 , -88.18343"
Levittown,Pennsylvania,US,"40.15511 , -74.82877"
Philadelphia,Pennsylvania,US,"39.95233 , -75.16379"
Battle Creek,Michigan,US,"42.3173 , -85.17816"
Kalamazoo,Michigan,US,"42.29171 , -85.58723"
Portage,Michigan,US,"42.20115 , -85.58"
Bowling Green,Kentucky,US,"36.99032 , -86.4436"
Elizabethtown,Kentucky,US,"37.69395 , -85.85913"
Henderson,Kentucky,US,"37.83615 , -87.59001"
Hopkinsville,Kentucky,US,"36.86561 , -87.49117"
Owensboro,Kentucky,US,"37.77422 , -87.11333"
Paducah,Kentucky,US,"37.08339 , -88.60005"
Radcliff,Kentucky,US,"37.84035 , -85.94913"
Back Mountain,Pennsylvania,US,"41.33591 , -75.99631"
Hazleton,Pennsylvania,US,"40.95842 , -75.97465"
Scranton,Pennsylvania,US,"41.40916 , -75.6649"
Wilkes-Barre,Pennsylvania,US,"41.24591 , -75.88131"
Williamsport,Pennsylvania,US,"41.24119 , -77.00108"
Richmond,Virginia,US,"37.55376 , -77.46026"
Alvin,Texas,US,"29.42385 , -95.2441"
Atascocita,Texas,US,"29.99883 , -95.1766"
Baytown,Texas,US,"29.7355 , -94.97743"
Channelview,Texas,US,"29.77606 , -95.11465"
Cloverleaf,Texas,US,"29.77828 , -95.17188"
Deer Park,Texas,US,"29.70523 , -95.12382"
Friendswood,Texas,US,"29.5294 , -95.20104"
South Houston,Texas,US,"29.66301 , -95.23549"
La Porte,Texas,US,"29.66578 , -95.01937"
League City,Texas,US,"29.50745 , -95.09493"
Mission Bend,Texas,US,"29.69384 , -95.66495"
Missouri City,Texas,US,"29.61857 , -95.53772"
Pasadena,Texas,US,"29.69106 , -95.2091"
Pearland,Texas,US,"29.56357 , -95.28605"
Rosenberg,Texas,US,"29.55718 , -95.80856"
Spring,Texas,US,"30.07994 , -95.41716"
Sugar Land,Texas,US,"29.61968 , -95.63495"
The Woodlands,Texas,US,"30.15799 , -95.48938"
